Tree Number	Desc Ui	Term
E05.478.594.760.360	D006383	Hemadsorption Inhibition Tests
E05.478.594.760.370	D006385	Hemagglutination Inhibition Tests
E05.478.594.760.550	D009500	Neutralization Tests
E05.478.594.760.645	D011233	Precipitin Tests
E05.478.594.760.645.300	D005428	Flocculation Tests
E05.478.594.760.645.350	D005779	Immunodiffusion
E05.478.594.760.645.350.350	D007122	Immunoelectrophoresis
E05.478.594.760.645.350.350.150	D003378	Counterimmunoelectrophoresis
E05.478.594.760.645.350.350.350	D007123	Immunoelectrophoresis, Two-Dimensional
E05.478.594.760.830	D011852	Radioallergosorbent Test
E05.478.594.760.840	D015531	Radioimmunoprecipitation Assay
E05.478.594.760.845	D058248	Serum Bactericidal Antibody Assay
E05.478.594.760.850	D013588	Syphilis Serodiagnosis
E05.478.594.760.850.200	D016508	Fluorescent Treponemal Antibody-Absorption Test
E05.478.594.760.850.800	D014209	Treponema Immobilization Test
E05.478.594.780	D012703	Serotyping
E05.478.594.890	D012882	Skin Tests
E05.478.594.890.300	D007428	Intradermal Tests
E05.478.594.890.300.540	D007731	Kveim Test
E05.478.594.890.300.750	D015927	Skin Test End-Point Titration
E05.478.594.890.450	D023441	Local Lymph Node Assay
E05.478.594.890.600	D010323	Passive Cutaneous Anaphylaxis
E05.478.594.890.610	D010328	Patch Tests
E05.478.594.890.705	D012884	Skin Window Technique
E05.478.594.890.800	D014374	Tuberculin Test
E05.478.605	D047468	Immunoprecipitation
E05.478.605.160	D047369	Chromatin Immunoprecipitation
E05.478.605.492	D011233	Precipitin Tests
E05.478.605.492.300	D005428	Flocculation Tests
E05.478.605.492.350	D005779	Immunodiffusion
E05.478.605.492.350.350	D007122	Immunoelectrophoresis
E05.478.605.492.350.350.150	D003378	Counterimmunoelectrophoresis
E05.478.605.492.350.350.350	D007123	Immunoelectrophoresis, Two-Dimensional
E05.478.605.825	D015531	Radioimmunoprecipitation Assay
E05.478.610	D007165	Immunosuppression
E05.478.610.310	D003888	Desensitization, Immunologic
E05.478.610.310.500	D063729	Sublingual Immunotherapy
E05.478.610.500	D006082	Graft Enhancement, Immunologic
E05.478.610.570	D008212	Lymphocyte Depletion
E05.478.610.800	D019172	Transplantation Conditioning
E05.478.805	D016719	Radioimmunodetection
E05.481	D066298	In Vitro Techniques
E05.481.500	D046508	Culture Techniques
E05.481.500.124	D061245	Axenic Culture
E05.481.500.249	D018929	Cell Culture Techniques
E05.481.500.249.124	D061249	Batch Cell Culture Techniques
E05.481.500.249.500	D061251	Primary Cell Culture
E05.481.500.311	D060846	Cell Engineering
E05.481.500.311.249	D060847	Metabolic Engineering
E05.481.500.311.500	D023822	Tissue Engineering
E05.481.500.374	D018920	Coculture Techniques
E05.481.500.468	D046149	Embryo Culture Techniques
E05.481.500.484	D009924	Organ Culture Techniques
E05.481.500.550	D058439	Plant Somatic Embryogenesis Techniques
E05.481.500.617	D046509	Tissue Culture Techniques
E05.484	D007201	Indicator Dilution Techniques
E05.484.250	D004395	Dye Dilution Technique
E05.484.650	D011865	Radioisotope Dilution Technique
E05.484.750	D013815	Thermodilution
E05.490	D007368	Interferometry
E05.490.630	D008857	Microscopy, Interference
E05.490.630.569	D008858	Microscopy, Phase-Contrast
E05.490.815	D015903	Moire Topography
E05.497	D007440	Intubation
E05.497.412	D007441	Intubation, Gastrointestinal
E05.497.578	D007442	Intubation, Intratracheal
E05.497.578.475	D017214	Laryngeal Masks
E05.516	D019194	Ischemic Preconditioning
E05.516.325	D019157	Ischemic Preconditioning, Myocardial
E05.519	D000067268	Isolated Heart Preparation
E05.522	D007553	Isotope Labeling
E05.540	D060306	Magnetometry
E05.540.249	D053798	Magnetocardiography
E05.540.500	D015225	Magnetoencephalography
E05.559	D008365	Manometry
E05.559.740	D025363	Rhinomanometry
E05.570	D008422	Materials Testing
E05.581	D008722	Methods
E05.581.249	D019370	Observation
E05.581.500	D012107	Research Design
E05.581.500.149	D035061	Control Groups
E05.581.500.300	D004311	Double-Blind Method
E05.581.500.400	D057239	Early Termination of Clinical Trials
E05.581.500.501	D015201	Meta-Analysis as Topic
E05.581.500.501.500	D000071076	Network Meta-Analysis
E05.581.500.653	D018579	Patient Selection
E05.581.500.805	D011897	Random Allocation
E05.581.500.902	D018401	Sample Size
E05.581.500.902.500	D061366	Numbers Needed To Treat
E05.588	D046208	Microchip Analytical Procedures
E05.588.465	D046210	Microfluidic Analytical Techniques
E05.588.465.340	D046209	Electrophoresis, Microchip
E05.588.570	D046228	Microarray Analysis
E05.588.570.660	D020411	Oligonucleotide Array Sequence Analysis
E05.588.570.700	D040081	Protein Array Analysis
E05.588.570.850	D046888	Tissue Array Analysis
E05.591	D008846	Micromanipulation
E05.591.560	D042282	Microdissection
E05.591.560.500	D061346	Laser Capture Microdissection
E05.591.570	D008845	Microinjections
E05.591.580	D008866	Microsurgery
E05.595	D008853	Microscopy
E05.595.185	D000069416	Intravital Microscopy
E05.595.185.250	D046169	Dermoscopy
E05.595.185.500	D020678	Microscopic Angioscopy
E05.595.370	D033401	Microscopy, Acoustic
E05.595.395	D018613	Microscopy, Confocal
E05.595.395.500	D047569	Laser Scanning Cytometry
E05.595.402	D008854	Microscopy, Electron
E05.595.402.150	D020285	Cryoelectron Microscopy
E05.595.402.250	D004577	Electron Probe Microanalysis
E05.595.402.541	D008855	Microscopy, Electron, Scanning
E05.595.402.580	D046529	Microscopy, Electron, Transmission
E05.595.402.580.239	D055032	Electron Microscope Tomography
E05.595.402.580.480	D017348	Microscopy, Electron, Scanning Transmission
E05.595.402.580.500	D046032	Microscopy, Energy-Filtering Transmission Electron
E05.595.402.625	D016253	Microscopy, Immunoelectron
E05.595.458	D008856	Microscopy, Fluorescence
E05.595.458.500	D036641	Microscopy, Fluorescence, Multiphoton
E05.595.513	D008857	Microscopy, Interference
E05.595.513.569	D008858	Microscopy, Phase-Contrast
E05.595.624	D008859	Microscopy, Polarization
E05.595.666	D020527	Microscopy, Scanning Probe
E05.595.666.400	D018625	Microscopy, Atomic Force
E05.595.666.450	D064347	Microscopy, Electrochemical, Scanning
E05.595.666.500	D016252	Microscopy, Scanning Tunneling
E05.595.680	D008860	Microscopy, Ultraviolet
E05.595.690	D018715	Microscopy, Video
E05.595.744	D062345	Nuclear Microscopy
E05.595.799	D010784	Photomicrography
E05.595.899	D000072760	Single Molecule Imaging
E05.598	D023421	Models, Animal
E05.598.500	D004195	Disease Models, Animal
E05.598.500.249	D001169	Arthritis, Experimental
E05.598.500.374	D003921	Diabetes Mellitus, Experimental
E05.598.500.468	D008106	Liver Cirrhosis, Experimental
E05.598.500.496	D009374	Neoplasms, Experimental
E05.598.500.496.500	D007942	Leukemia, Experimental
E05.598.500.496.750	D008114	Liver Neoplasms, Experimental
E05.598.500.496.843	D008325	Mammary Neoplasms, Experimental
E05.598.500.496.937	D008546	Melanoma, Experimental
E05.598.500.496.968	D012513	Sarcoma, Experimental
E05.598.500.500	D020721	Nervous System Autoimmune Disease, Experimental
E05.598.500.500.500	D004681	Encephalomyelitis, Autoimmune, Experimental
E05.598.500.500.750	D020720	Myasthenia Gravis, Autoimmune, Experimental
E05.598.500.500.875	D009444	Neuritis, Autoimmune, Experimental
E05.598.500.750	D011833	Radiation Injuries, Experimental
E05.598.750	D000067268	Isolated Heart Preparation
E05.599	D008962	Models, Theoretical
E05.599.125	D017709	Fractals
E05.599.250	D017143	Fuzzy Logic
E05.599.395	D008954	Models, Biological
E05.599.395.080	D004195	Disease Models, Animal
E05.599.395.161	D008955	Models, Cardiovascular
E05.599.395.397	D008957	Models, Genetic
E05.599.395.500	D018448	Models, Immunological
E05.599.395.642	D008959	Models, Neurological
E05.599.395.642.550	D020557	Neurolinguistic Programming
E05.599.395.821	D066230	Patient-Specific Modeling
E05.599.495	D008956	Models, Chemical
E05.599.545	D017145	Models, Educational
E05.599.595	D008958	Models, Molecular
E05.599.595.249	D062105	Molecular Docking Simulation
E05.599.595.500	D056004	Molecular Dynamics Simulation
E05.599.645	D016294	Models, Nursing
E05.599.670	D017146	Models, Organizational
E05.599.695	D008960	Models, Psychological
E05.599.695.550	D020557	Neurolinguistic Programming
E05.599.835	D015233	Models, Statistical
E05.599.835.500	D016013	Likelihood Functions
E05.599.835.750	D016014	Linear Models
E05.599.835.875	D016015	Logistic Models
E05.599.835.890	D018803	Models, Economic
E05.599.835.890.500	D017059	Models, Econometric
E05.599.835.895	D049451	Nomograms
E05.599.835.900	D016016	Proportional Hazards Models
E05.599.850	D017711	Nonlinear Dynamics
E05.601	D015336	Molecular Probe Techniques
E05.601.043	D015374	Biosensing Techniques
E05.601.043.700	D020349	Surface Plasmon Resonance
E05.601.085	D019921	Biotinylation
E05.601.100	D015152	Blotting, Northern
E05.601.150	D015139	Blotting, Southern
E05.601.225	D026501	Blotting, Southwestern
E05.601.262	D015153	Blotting, Western
E05.601.262.500	D026481	Blotting, Far-Western
E05.601.300	D021121	Branched DNA Signal Amplification Assay
E05.601.470	D007118	Immunoassay
E05.601.470.320	D015151	Immunoblotting
E05.601.470.320.200	D015153	Blotting, Western
E05.601.470.320.200.500	D026481	Blotting, Far-Western
E05.601.470.350	D007124	Immunoenzyme Techniques
E05.601.470.350.170	D004797	Enzyme-Linked Immunosorbent Assay
E05.601.470.350.170.500	D058501	Enzyme-Linked Immunospot Assay
E05.601.470.350.180	D017248	Enzyme Multiplied Immunoassay Technique
E05.601.470.380	D007163	Immunosorbent Techniques
E05.601.470.380.360	D004797	Enzyme-Linked Immunosorbent Assay
E05.601.470.380.360.500	D058501	Enzyme-Linked Immunospot Assay
E05.601.470.380.810	D011852	Radioallergosorbent Test
E05.601.470.380.825	D015531	Radioimmunoprecipitation Assay
E05.601.470.380.830	D011864	Radioimmunosorbent Test
E05.601.470.639	D011863	Radioimmunoassay
E05.601.470.639.405	D015592	Immunoradiometric Assay
E05.601.470.639.810	D011852	Radioallergosorbent Test
E05.601.470.639.825	D015531	Radioimmunoprecipitation Assay
E05.601.470.639.830	D011864	Radioimmunosorbent Test
E05.601.555	D057054	Molecular Imaging
E05.601.555.500	D000072760	Single Molecule Imaging
E05.601.640	D020411	Oligonucleotide Array Sequence Analysis
E05.601.680	D040081	Protein Array Analysis
E05.601.690	D025941	Protein Interaction Mapping
E05.601.690.149	D026481	Blotting, Far-Western
E05.601.690.300	D018604	Epitope Mapping
E05.601.690.650	D020798	Two-Hybrid System Techniques
E05.601.700	D019105	Random Amplified Polymorphic DNA Technique
E05.601.870	D020798	Two-Hybrid System Techniques
E05.624	D009368	Neoplasm Transplantation
E05.624.850	D023041	Xenograft Model Antitumor Assays
E05.624.850.830	D013370	Subrenal Capsule Assay
E05.629	D059906	Neuroimaging
E05.629.750	D056324	Diffusion Tensor Imaging
E05.629.875	D059907	Functional Neuroimaging
E05.629.875.500	D001931	Brain Mapping
E05.629.875.500.500	D063132	Connectome
E05.629.937	D009485	Neuroradiography
E05.629.937.180	D002533	Cerebral Angiography
E05.629.937.190	D014695	Cerebral Ventriculography
E05.629.937.260	D004453	Echoencephalography
E05.629.937.260.850	D017585	Ultrasonography, Doppler, Transcranial
E05.629.937.505	D009192	Myelography
E05.629.937.620	D011011	Pneumoencephalography
E05.635	D019148	Neuromuscular Blockade
E05.638	D064367	Olfactometry
E05.642	D061848	Optical Imaging
E05.642.124	D062048	Narrow Band Imaging
E05.642.249	D041622	Tomography, Optical
E05.642.249.500	D041623	Tomography, Optical Coherence
E05.642.500	D014172	Transillumination
E05.650	D052898	Optical Tweezers
E05.654	D009991	Oscillometry
E05.657	D000072257	Oxygen Radical Absorbance Capacity
E05.660	D010227	Parabiosis
E05.660.365	D003427	Cross Circulation
E05.680	D010477	Perfusion
E05.680.730	D015424	Reperfusion
E05.680.730.600	D015425	Myocardial Reperfusion
E05.696	D061088	Photoacoustic Techniques
E05.712	D010781	Photography
E05.712.315	D023861	Photography, Dental
E05.712.657	D059008	Time-Lapse Imaging
E05.723	D010812	Physical Stimulation
E05.723.136	D000161	Acoustic Stimulation
E05.723.402	D004558	Electric Stimulation
E05.723.402.201	D002907	Chronaxy
E05.723.402.403	D004597	Electroshock
E05.723.729	D010775	Photic Stimulation
E05.734	D010826	Physiognomy
E05.760	D011309	Preservation, Biological
E05.760.156	D015925	Cryopreservation
E05.760.156.260	D005612	Freeze Drying
E05.760.156.260.270	D017110	Freeze Substitution
E05.760.643	D012034	Refrigeration
E05.760.833	D014021	Tissue Preservation
E05.760.833.230	D001793	Blood Preservation
E05.760.833.230.500	D058731	Blood Safety
E05.760.833.445	D050377	Cold Ischemia
E05.760.833.660	D009926	Organ Preservation
E05.760.833.890	D012662	Semen Preservation
E05.790	D058849	Protein Refolding
E05.793	D058767	Protein Unfolding
E05.793.500	D011489	Protein Denaturation
E05.796	D011580	Psychological Techniques
E05.796.112	D000067289	Behavior Observation Techniques
E05.796.332	D005712	Galvanic Skin Response
E05.796.817	D011930	Reaction Time
E05.796.817.559	D012033	Refractory Period, Psychological
E05.796.908	D017603	Signal Detection, Psychological
E05.799	D011874	Radiometry
E05.799.256	D001345	Autoradiography
E05.799.513	D011829	Radiation Dosage
E05.799.513.500	D004307	Dose-Response Relationship, Radiation
E05.799.638	D011834	Radiation Monitoring
E05.799.638.231	D001822	Body Burden
E05.799.638.420	D005373	Film Dosimetry
E05.799.638.511	D000072231	In Vivo Dosimetry
E05.799.638.602	D062791	Optically Stimulated Luminescence Dosimetry
E05.799.638.785	D013819	Thermoluminescent Dosimetry
E05.799.669	D055110	Radiometric Dating
E05.799.700	D012588	Scintillation Counting
E05.799.801	D013051	Spectrometry, Gamma
E05.799.830	D013052	Spectrometry, X-Ray Emission
E05.799.830.360	D004577	Electron Probe Microanalysis
E05.799.890	D059405	Sun Protection Factor
E05.799.950	D014915	Whole-Body Counting
E05.820	D012099	Reproductive Techniques
E05.820.150	D001947	Breeding
E05.820.150.360	D004972	Estrus Detection
E05.820.150.370	D004973	Estrus Synchronization
E05.820.150.390	D006824	Hybridization, Genetic
E05.820.150.520	D007178	Inbreeding
E05.820.150.760	D000068618	Selective Breeding
E05.820.180	D019976	Cloning, Organism
E05.820.240	D019924	Embryo Disposition
E05.820.390	D005186	Fallopian Tube Patency Tests
E05.820.540	D053652	Nuclear Transfer Techniques
E05.820.690	D010061	Ovulation Detection
E05.820.745	D044384	Ovulation Prediction
E05.820.800	D027724	Reproductive Techniques, Assisted
E05.820.800.250	D000072234	Donor Conception
E05.820.800.500	D004624	Embryo Transfer
E05.820.800.500.500	D056826	Single Embryo Transfer
E05.820.800.625	D059247	Fertility Preservation
E05.820.800.750	D005307	Fertilization in Vitro
E05.820.800.750.350	D000069321	Mitochondrial Replacement Therapy
E05.820.800.750.700	D020554	Sperm Injections, Intracytoplasmic
E05.820.800.875	D015181	Gamete Intrafallopian Transfer
E05.820.800.906	D059471	In Vitro Oocyte Maturation Techniques
E05.820.800.937	D007315	Insemination, Artificial
E05.820.800.937.515	D007316	Insemination, Artificial, Heterologous
E05.820.800.937.525	D007317	Insemination, Artificial, Homologous
E05.820.800.968	D018587	Oocyte Donation
E05.820.800.976	D054315	Oocyte Retrieval
E05.820.800.984	D010062	Ovulation Induction
E05.820.800.984.500	D013480	Superovulation
E05.820.800.986	D037022	Posthumous Conception
E05.820.800.988	D053625	Sperm Retrieval
E05.820.800.992	D017388	Zygote Intrafallopian Transfer
E05.830	D012212	Rheology
E05.830.250	D018056	Hemorheology
E05.830.500	D017078	Laser-Doppler Flowmetry
E05.830.583	D008153	Lubrication
E05.830.666	D044085	Microfluidics
E05.830.666.500	D058874	Electrowetting
E05.848	D013010	Sonication
E05.855	D013018	Sound Spectrography
E05.873	D013238	Stereotaxic Techniques
E05.873.249	D038361	Neuronavigation
E05.873.500	D016634	Radiosurgery
E05.885	D015813	Substance Abuse Detection
E05.916	D013678	Technology, Pharmaceutical
E05.916.250	D004304	Dosage Forms
E05.916.270	D004339	Drug Compounding
E05.916.290	D004344	Drug Incompatibility
E05.916.310	D004348	Drug Labeling
E05.916.320	D004349	Drug Packaging
E05.916.330	D004355	Drug Stability
E05.916.350	D004356	Drug Storage
E05.916.360	D004795	Enzyme Stability
E05.916.680	D057166	High-Throughput Screening Assays
E05.920	D013679	Technology, Radiologic
E05.920.700	D019112	Teleradiology
E05.925	D013686	Telemetry
E05.925.500	D058998	Remote Sensing Technology
E05.925.500.500	D063809	Satellite Imagery
E05.927	D007507	Therapeutic Irrigation
E05.927.100	D018893	Bronchoalveolar Lavage
E05.927.100.500	D001992	Bronchoalveolar Lavage Fluid
E05.927.441	D005751	Gastric Lavage
E05.927.573	D055556	Nasal Lavage
E05.927.573.500	D017817	Nasal Lavage Fluid
E05.927.705	D010533	Peritoneal Lavage
E05.927.852	D044364	Vaginal Douching
E05.933	D062125	Thermometry
E05.933.500	D013817	Thermography
E05.940	D018675	Toxicity Tests
E05.940.150	D015197	Carcinogenicity Tests
E05.940.245	D003601	Cytotoxicity Tests, Immunologic
E05.940.350	D020128	Inhibitory Concentration 50
E05.940.402	D007928	Lethal Dose 50
E05.940.481	D020714	Maximum Tolerated Dose
E05.940.560	D009152	Mutagenicity Tests
E05.940.560.150	D020552	Comet Assay
E05.940.600	D019055	No-Observed-Adverse-Effect Level
E05.940.790	D023382	Toxicity Tests, Acute
E05.940.790.500	D023422	Skin Irritancy Tests
E05.940.800	D036401	Toxicity Tests, Chronic
E05.940.850	D059551	Toxicity Tests, Subacute
E05.940.900	D059550	Toxicity Tests, Subchronic
E05.944	D015599	Trauma Severity Indices
E05.944.250	D015998	Abbreviated Injury Scale
E05.944.500	D015600	Glasgow Coma Scale
E05.944.510	D023261	Glasgow Outcome Scale
E05.944.600	D015601	Injury Severity Score
E05.959	D058067	Wavelet Analysis
E05.974	D018544	Weightlessness Countermeasures
E05.977	D018474	Weightlessness Simulation
E05.977.400	D019417	Hindlimb Suspension
E05.978	D014894	Weights and Measures
E05.978.155	D002138	Calibration
E05.978.507	D007394	International System of Units
E05.978.539	D008792	Metric System
E05.978.673	D058525	Quartz Crystal Microbalance Techniques
E05.978.808	D012015	Reference Standards
E05.978.808.249	D057918	Fiducial Markers
E05.978.808.500	D057238	Growth Charts
E05.978.810	D012016	Reference Values
E05.979	D051598	Whole Body Imaging
E05.980	D014916	Whole-Body Irradiation
E06	D003813	Dentistry
E06.020	D020906	Air Abrasion, Dental
E06.045	D000766	Anesthesia, Dental
E06.045.481	D006992	Hypnosis, Dental
E06.070	D057087	Dental Atraumatic Restorative Treatment
E06.095	D001840	Dental Bonding
E06.095.170	D002484	Cementation
E06.095.585	D055115	Light-Curing of Dental Adhesives
E06.095.850	D055116	Self-Curing of Dental Resins
E06.170	D003729	Dental Care
E06.170.100	D016321	Dental Care for Aged
E06.170.152	D019140	Dental Care for Children
E06.170.205	D017742	Dental Care for Chronically Ill
E06.170.310	D003730	Dental Care for Disabled
E06.178	D017005	Dental Debonding
E06.186	D003748	Dental Equipment
E06.186.104	D055117	Curing Lights, Dental
E06.186.210	D003725	Dental Articulators
E06.186.250	D003742	Dental Devices, Home Care
E06.186.376	D003754	Dental High-Speed Equipment
E06.186.501	D003762	Dental Instruments
E06.186.501.630	D008434	Matrix Bands
E06.186.670	D016733	Rubber Dams
E06.208	D003753	Dental Health Surveys
E06.208.250	D003774	Dental Plaque Index
E06.208.266	D004245	DMF Index
E06.208.421	D061326	Index of Orthodontic Treatment Need
E06.208.576	D009911	Oral Hygiene Index
E06.208.720	D010512	Periodontal Index
E06.216	D003755	Dental High-Speed Technique
E06.261	D003765	Dental Models
E06.276	D003766	Dental Occlusion
E06.276.125	D001732	Bite Force
E06.276.293	D003767	Dental Occlusion, Balanced
E06.276.459	D003768	Dental Occlusion, Centric
E06.276.459.733	D014716	Vertical Dimension
E06.292	D003772	Dental Pins
E06.298	D003775	Dental Polishing
E06.308	D003799	Dental Stress Analysis
E06.323	D003814	Dentistry, Operative
E06.323.115	D016556	Crown Lengthening
E06.323.225	D003736	Dental Cavity Lining
E06.323.400	D019232	Dental Restoration Failure
E06.323.428	D003793	Dental Restoration, Permanent
E06.323.428.187	D058250	Dental Restoration Repair
E06.323.428.275	D007284	Inlays
E06.323.528	D003794	Dental Restoration, Temporary
E06.323.764	D018772	Dental Marginal Adaptation
E06.342	D003945	Diagnosis, Oral
E06.342.250	D003732	Dental Caries Activity Tests
E06.342.377	D003791	Dental Pulp Test
E06.342.488	D023861	Photography, Dental
E06.342.764	D011861	Radiography, Dental
E06.342.764.142	D000366	Age Determination by Teeth
E06.342.764.600	D016300	Radiography, Bitewing
E06.342.764.716	D019252	Radiography, Dental, Digital
E06.342.764.750	D011862	Radiography, Panoramic
E06.342.764.793	D012796	Sialography
E06.377	D004570	Electrogalvanism, Intraoral
E06.397	D004708	Endodontics
E06.397.102	D001047	Apicoectomy
E06.397.345	D003759	Dental Implantation, Endosseous, Endodontic
E06.397.370	D003785	Dental Pulp Capping
E06.397.633	D011670	Pulpectomy
E06.397.695	D011672	Pulpotomy
E06.397.778	D012390	Root Canal Therapy
E06.397.778.188	D056624	Apexification
E06.397.778.377	D003787	Dental Pulp Devitalization
E06.397.778.778	D012389	Root Canal Obturation
E06.397.778.778.648	D012184	Retrograde Obturation
E06.397.778.889	D018915	Root Canal Preparation
E06.397.898	D014090	Tooth Replantation
E06.420	D004955	Esthetics, Dental
E06.420.500	D019243	Enamel Microabrasion
E06.420.750	D014073	Tooth Bleaching
E06.470	D019552	Infection Control, Dental
E06.520	D007574	Jaw Relation Record
E06.520.200	D016302	Centric Relation
E06.584	D009065	Mouth Rehabilitation
E06.603	D020247	Myofunctional Therapy
E06.623	D009811	Odontometry
E06.623.500	D000366	Age Determination by Teeth
E06.640	D019242	Oral Medicine
E06.645	D019647	Oral Surgical Procedures
E06.645.100	D001047	Apicoectomy
E06.645.350	D005890	Gingivectomy
E06.645.355	D005893	Gingivoplasty
E06.645.380	D005927	Glossectomy
E06.645.410	D016557	Guided Tissue Regeneration, Periodontal
E06.645.440	D019248	Jaw Fixation Techniques
E06.645.500	D019186	Mandibular Advancement
E06.645.510	D019931	Maxillofacial Prosthesis Implantation
E06.645.510.500	D019930	Mandibular Prosthesis Implantation
E06.645.550	D013516	Oral Surgical Procedures, Preprosthetic
E06.645.550.100	D000540	Alveolar Ridge Augmentation
E06.645.550.110	D000541	Alveolectomy
E06.645.550.120	D000543	Alveoloplasty
E06.645.550.280	D003757	Dental Implantation
E06.645.550.280.280	D003758	Dental Implantation, Endosseous
E06.645.550.280.280.150	D001751	Blade Implantation
E06.645.550.280.280.280	D003759	Dental Implantation, Endosseous, Endodontic
E06.645.550.280.280.450	D057893	Immediate Dental Implant Loading
E06.645.550.280.290	D016299	Dental Implantation, Subperiosteal
E06.645.550.800	D014727	Vestibuloplasty
E06.645.562	D056948	Orthognathic Surgical Procedures
E06.645.562.124	D064728	Alveolar Bone Grafting
E06.645.562.249	D063172	Genioplasty
E06.645.562.374	D063168	Mandibular Osteotomy
E06.645.562.500	D063175	Mandibular Reconstruction
E06.645.562.750	D063166	Maxillary Osteotomy
E06.645.575	D019340	Osteotomy, Le Fort
E06.645.637	D059229	Osteotomy, Sagittal Split Ramus
E06.645.668	D059546	Sinus Floor Augmentation
E06.645.700	D014081	Tooth Extraction
E06.645.700.680	D012690	Serial Extraction
E06.645.710	D014090	Tooth Replantation
E06.658	D009970	Orthodontics
E06.658.224	D018772	Dental Marginal Adaptation
E06.658.280	D019186	Mandibular Advancement
E06.658.337	D052280	Orthodontic Anchorage Procedures
E06.658.450	D016382	Orthodontic Appliance Design
E06.658.453	D009967	Orthodontic Appliances
E06.658.453.510	D017090	Occlusal Splints
E06.658.453.560	D017289	Orthodontic Appliances, Functional
E06.658.453.560.100	D000202	Activator Appliances
E06.658.453.578	D009968	Orthodontic Appliances, Removable
E06.658.453.578.100	D000202	Activator Appliances
E06.658.453.578.360	D005115	Extraoral Traction Appliances
E06.658.453.590	D016910	Orthodontic Brackets
E06.658.453.637	D018704	Orthodontic Retainers
E06.658.453.684	D009969	Orthodontic Wires
E06.658.578	D009971	Orthodontics, Corrective
E06.658.578.099	D016556	Crown Lengthening
E06.658.578.200	D019558	Occlusal Adjustment
E06.658.578.225	D050793	Orthodontic Extrusion
E06.658.578.229	D019516	Orthodontic Space Closure
E06.658.578.458	D010155	Palatal Expansion Technique
E06.658.578.836	D014087	Tooth Movement Techniques
E06.658.641	D009972	Orthodontics, Interceptive
E06.658.641.890	D012690	Serial Extraction
E06.658.703	D009973	Orthodontics, Preventive
E06.658.703.675	D013027	Space Maintenance, Orthodontic
E06.685	D010339	Pathology, Oral
E06.721	D010517	Periodontics
E06.721.189	D003777	Dental Prophylaxis
E06.721.189.350	D012534	Dental Scaling
E06.721.189.350.650	D016745	Root Planing
E06.721.189.675	D057747	Periodontal Debridement
E06.721.321	D005890	Gingivectomy
E06.721.384	D005893	Gingivoplasty
E06.721.485	D016557	Guided Tissue Regeneration, Periodontal
E06.721.595	D010511	Periodontal Dressings
E06.721.658	D010512	Periodontal Index
E06.721.721	D010515	Periodontal Prosthesis
E06.721.721.680	D010516	Periodontal Splints
E06.721.874	D013357	Subgingival Curettage
E06.721.874.650	D016745	Root Planing
E06.761	D011313	Preventive Dentistry
E06.761.227	D003777	Dental Prophylaxis
E06.761.227.350	D012534	Dental Scaling
E06.761.227.350.650	D016745	Root Planing
E06.761.382	D005457	Fluoridation
E06.761.599	D009064	Mouth Protectors
E06.761.726	D009910	Oral Hygiene
E06.761.726.292	D003742	Dental Devices, Home Care
E06.761.726.794	D014099	Toothbrushing
E06.780	D011476	Prosthodontics
E06.780.250	D003735	Dental Casting Technique
E06.780.314	D003757	Dental Implantation
E06.780.314.310	D003758	Dental Implantation, Endosseous
E06.780.314.310.340	D001751	Blade Implantation
E06.780.314.310.360	D003759	Dental Implantation, Endosseous, Endodontic
E06.780.314.310.450	D057893	Immediate Dental Implant Loading
E06.780.314.482	D016299	Dental Implantation, Subperiosteal
E06.780.346	D017266	Dental Prosthesis
E06.780.346.250	D003442	Crowns
E06.780.346.250.500	D011176	Post and Core Technique
E06.780.346.500	D000044	Dental Abutments
E06.780.346.562	D016734	Dental Clasps
E06.780.346.593	D015921	Dental Implants
E06.780.346.593.185	D019250	Dental Implants, Single-Tooth
E06.780.346.625	D017267	Dental Prosthesis Design
E06.780.346.625.500	D059605	Dental Implant-Abutment Design
E06.780.346.630	D019094	Dental Prosthesis, Implant-Supported
E06.780.346.656	D017269	Dental Prosthesis Repair
E06.780.346.687	D017268	Dental Prosthesis Retention
E06.780.346.725	D019232	Dental Restoration Failure
E06.780.346.737	D003793	Dental Restoration, Permanent
E06.780.346.737.112	D058250	Dental Restoration Repair
E06.780.346.737.125	D019554	Dental Restoration Wear
E06.780.346.737.500	D007284	Inlays
E06.780.346.740	D003794	Dental Restoration, Temporary
E06.780.346.750	D003801	Dental Veneers
E06.780.346.760	D003778	Dentures
E06.780.346.760.281	D003819	Denture Bases
E06.780.346.760.290	D003824	Denture, Complete
E06.780.346.760.290.254	D003825	Denture, Complete, Immediate
E06.780.346.760.290.379	D003826	Denture, Complete, Lower
E06.780.346.760.290.504	D003827	Denture, Complete, Upper
E06.780.346.760.300	D003779	Denture Design
E06.780.346.760.357	D003822	Denture Liners
E06.780.346.760.395	D003828	Denture, Overlay
E06.780.346.760.433	D003829	Denture, Partial
E06.780.346.760.433.271	D003830	Denture, Partial, Fixed
E06.780.346.760.433.271.260	D016379	Denture, Partial, Fixed, Resin-Bonded
E06.780.346.760.433.342	D003831	Denture, Partial, Immediate
E06.780.346.760.433.413	D003832	Denture, Partial, Removable
E06.780.346.760.433.484	D003833	Denture, Partial, Temporary
E06.780.346.760.433.555	D003834	Denture Precision Attachment
E06.780.346.760.471	D003823	Denture Rebasing
